1,2,3,4,5,6,Extra Number
3,15,17,24,32,44,20
5,6,18,19,30,39,7
1,3,24,31,39,45,7
15,17,19,23,24,34,33
13,21,33,41,44,46,43
8,14,16,18,26,48,44
2,11,22,27,46,47,32
8,13,17,24,36,43,41
22,33,35,36,37,48,30
14,21,22,28,32,33,25
15,21,23,37,47,49,30
11,21,22,25,32,44,38
7,15,32,40,42,44,9
6,19,22,23,34,43,11
5,18,23,24,29,49,11
6,18,31,33,44,49,2
5,36,39,44,48,49,32
2,3,16,25,38,48,6
17,22,26,36,39,45,14
6,8,10,23,32,45,3
28,32,34,37,45,49,7
4,10,15,20,32,38,26
1,13,25,27,31,34,33
8,16,18,28,29,32,20
25,36,44,45,48,49,13
3,7,25,29,37,39,8
10,14,18,21,34,44,24
10,21,23,27,35,47,39
9,11,17,28,35,43,42
19,22,25,32,33,45,36
17,20,28,31,35,48,32
6,25,29,40,48,49,42
12,19,31,37,42,45,15
9,12,23,30,31,44,5
5,17,20,24,27,35,38
6,13,23,25,32,39,34
13,16,17,22,23,35,41
5,9,22,33,46,47,36
7,17,24,35,37,45,30
19,29,32,34,42,46,20
9,11,23,24,29,49,30
3,21,28,33,45,49,29
2,4,19,27,31,39,13
7,12,13,18,34,35,6
5,19,30,40,44,45,26
6,25,32,36,39,45,13
9,13,35,40,45,46,26
9,15,27,30,34,39,19
18,22,24,33,39,44,3
1,2,13,15,41,46,27
12,16,28,29,38,47,26
5,6,16,21,24,35,33
6,14,15,19,45,47,17
4,11,26,29,34,35,18
10,15,28,31,34,40,48
12,22,27,29,32,34,9
6,12,29,32,34,46,16
13,26,27,41,45,49,46
19,26,28,29,46,49,32
6,11,17,22,27,43,24
12,15,25,26,29,41,42
18,20,30,35,47,49,44
4,7,21,32,41,47,28
20,21,24,30,32,38,47
11,15,18,21,29,40,8
12,16,21,35,44,48,32
3,7,11,20,23,27,29
1,11,24,37,45,49,22
10,20,21,22,23,42,49
19,21,34,36,47,49,14
11,22,23,26,32,35,2
11,17,20,27,36,48,21
7,11,22,26,39,44,8
2,4,7,29,32,40,44
6,14,17,30,35,42,49
3,5,12,13,45,47,46
10,19,35,44,47,49,15
8,11,17,36,43,48,25
12,23,24,27,36,46,43
16,20,21,24,39,43,34
6,8,24,26,29,45,39
29,30,36,41,48,49,14
4,16,19,21,26,29,13
1,4,9,14,21,37,45
19,25,26,29,32,39,4
4,11,19,20,30,39,45
1,9,14,38,42,43,23
4,15,22,25,29,42,1
7,11,15,17,25,28,9
1,2,6,11,40,47,32
14,15,20,27,41,44,33
13,20,22,27,41,44,36
3,7,13,35,37,39,23
1,8,21,25,29,34,4
5,26,29,32,42,45,36
5,15,20,26,30,40,39
1,7,21,27,33,45,17
1,4,18,25,38,45,23
3,13,15,18,19,24,37
14,18,30,36,40,42,1
7,14,19,31,36,45,24
3,6,24,25,34,37,45
16,22,33,43,48,49,8
3,4,6,12,18,32,28
1,3,4,19,38,45,39
3,5,11,12,18,48,6
8,15,26,27,30,35,2
1,19,28,33,35,41,11
8,13,18,23,31,47,16
9,23,42,44,45,46,22
1,3,5,18,26,35,14
8,11,18,23,25,41,45
14,20,21,22,23,30,18
1,2,3,36,37,41,10
9,11,23,26,30,48,28
1,16,18,36,37,46,38
10,14,16,21,37,49,22
3,18,24,33,43,44,4
1,15,18,33,34,39,22
5,12,27,29,38,40,22
2,13,15,17,22,28,23
10,14,23,24,33,41,38
9,15,26,32,33,44,1
8,11,12,28,29,44,34
1,2,7,14,15,25,35
1,3,6,14,32,34,12
19,32,36,38,39,47,29
1,3,7,19,31,38,23
8,14,20,28,36,39,30
5,13,22,27,45,46,7
3,20,24,27,30,42,17
11,17,33,36,40,44,2
7,11,13,24,27,31,35
14,16,25,40,41,45,27
7,13,16,22,23,31,6
5,6,13,15,36,49,23
13,21,28,30,41,49,3
11,17,22,26,33,46,35
19,36,37,43,44,49,8
4,8,9,19,20,48,21
10,33,35,40,44,48,6
10,16,24,32,37,40,19
8,15,21,32,43,47,41
2,4,29,35,38,49,14
9,17,28,31,40,49,25
2,3,14,25,27,36,45
5,18,21,24,44,47,20
5,18,21,24,27,44,10
14,18,20,25,32,43,45
1,12,16,20,21,30,27
5,24,26,32,35,40,16
2,3,7,25,46,48,13
2,21,34,36,41,47,31
6,7,18,24,28,29,1
2,15,23,33,34,39,19
9,15,19,28,31,41,42
8,9,16,21,32,33,34
1,4,16,26,39,49,7
6,13,19,21,26,28,9
3,16,33,35,39,44,8
7,9,20,21,30,35,26
8,12,21,35,44,45,2
3,6,7,8,11,29,49
3,4,7,13,27,41,38
5,6,8,22,26,44,40
2,9,16,39,43,46,20
6,7,17,20,21,25,26
3,16,18,26,43,45,9
12,13,24,25,27,34,4
17,18,31,33,39,41,14
11,12,18,28,29,30,39
11,13,17,34,40,47,21
17,21,24,27,29,48,8
8,20,29,33,34,44,12
18,25,30,35,36,40,44
1,2,17,27,34,41,22
5,8,15,21,27,37,2
7,21,29,30,36,46,42
2,17,24,30,32,40,16
21,30,34,40,48,49,16
18,25,28,34,42,49,14
14,21,26,27,42,46,45
9,16,31,33,38,48,23
3,7,13,17,21,49,4
1,5,15,19,25,39,46
6,9,12,17,19,42,13
6,11,19,21,27,43,44
6,18,28,33,36,48,11
1,24,25,27,30,32,13
33,37,38,43,44,46,32
7,26,30,37,46,49,25
5,9,18,21,36,40,13
2,3,4,15,37,40,8
8,17,19,27,33,45,37
21,32,40,43,44,49,1
14,37,38,41,45,49,5
3,9,25,30,36,41,19
5,14,15,18,23,48,13
8,19,27,30,36,42,2
1,3,7,21,28,30,45
6,18,21,39,42,46,17
11,12,28,35,37,39,30
9,18,28,40,47,48,23
3,17,25,32,36,38,46
5,6,16,27,37,47,24
7,8,10,12,17,27,25
17,25,26,30,38,48,28
12,14,17,18,23,44,27
6,10,12,14,17,41,47
2,7,9,13,33,35,49
13,20,29,30,34,48,3
15,16,17,30,34,35,25
4,8,12,22,24,26,1
16,25,31,42,43,44,7
2,6,18,22,36,39,21
2,9,15,20,39,48,43
6,11,12,18,24,42,38
11,18,24,35,42,46,3
6,19,20,34,39,42,44
7,8,29,30,36,48,28
1,8,13,23,40,44,15
6,23,24,31,34,49,1
13,16,18,24,32,43,44
4,5,8,21,32,42,45
5,22,30,31,32,39,44
11,24,34,36,39,42,38
7,23,31,35,43,46,10
5,13,16,36,39,41,38
3,11,12,22,24,26,21
2,7,24,29,30,36,6
22,25,33,34,35,39,5
10,26,27,29,30,45,37
9,23,26,27,36,41,24
10,12,13,24,25,48,15
5,7,9,20,22,25,13
15,18,19,38,41,49,22
3,7,21,32,36,47,23
4,12,15,23,24,31,43
8,20,21,29,30,49,32
1,8,13,19,34,47,12
2,5,15,32,45,49,19
2,6,7,14,30,43,15
3,25,31,40,43,48,45
2,10,17,46,47,49,3
1,6,8,27,41,47,29
3,17,18,36,38,39,21
3,6,8,26,29,38,1
3,9,16,19,33,35,39
1,4,24,31,33,34,2
2,3,19,34,37,46,32
5,8,19,25,41,48,24
11,18,27,29,34,45,28
2,8,16,19,37,49,20
1,10,12,33,46,49,32
4,9,13,33,35,46,6
3,4,11,37,44,48,36
3,10,20,24,27,42,45
2,3,4,31,46,49,34
27,28,37,38,43,45,40
9,16,23,38,39,41,19
3,17,30,36,38,45,8
7,12,32,34,36,39,5
3,14,20,30,38,42,13
2,8,12,28,34,47,7
11,16,24,27,28,32,48
9,11,15,17,19,44,7
6,25,29,30,34,35,20
3,5,8,16,26,33,24
2,15,27,36,37,48,23
19,26,32,34,37,44,11
1,4,18,25,30,49,15
7,16,26,31,47,49,44
2,13,16,28,40,44,46
3,14,32,37,43,47,26
4,33,35,36,41,49,1
11,16,27,32,33,37,24
19,20,29,45,48,49,8
6,8,12,31,32,46,4
1,13,18,32,34,49,44
8,18,24,34,41,42,31
1,29,31,42,47,48,40
2,13,23,28,30,31,3
1,12,22,23,34,39,30
4,9,12,36,43,47,26
2,11,20,29,41,49,45
8,16,32,39,40,43,29
6,8,11,26,35,47,1
9,12,30,31,45,48,46
3,27,28,35,44,46,12
1,10,22,28,33,46,37
8,9,10,27,35,38,46
10,24,34,40,41,45,35
17,27,30,31,32,38,11
4,10,12,16,30,32,14
4,6,19,32,39,42,34
20,22,24,25,29,49,36
2,5,20,24,27,32,12
15,20,25,39,45,48,28
10,15,17,21,40,44,12
3,6,7,33,36,46,4
16,26,31,35,39,46,3
6,18,29,31,44,46,8
1,5,7,12,48,49,16
8,14,18,20,23,25,44
3,9,15,18,21,37,42
4,12,17,37,38,39,41
3,12,13,17,24,36,16
2,3,4,13,18,42,12
4,7,18,28,30,40,29
2,8,24,39,41,44,40
3,14,23,30,33,44,21
2,7,25,28,31,35,11
13,23,26,40,41,43,14
13,15,17,18,20,43,39
1,2,10,13,29,47,9
4,16,18,34,35,46,47
15,16,34,36,39,40,42
4,9,12,33,37,42,3
3,8,11,23,36,38,33
7,19,22,27,40,47,13
1,11,22,26,38,39,27
5,15,20,29,32,37,18
3,6,25,29,35,42,36
6,10,18,21,22,33,4
7,10,16,18,29,45,1
1,11,14,16,26,36,39
14,15,24,30,37,39,26
8,18,31,34,35,47,39
18,22,31,35,44,48,6
5,13,17,20,33,38,14
14,16,22,26,36,42,19
14,16,18,22,30,47,11
4,22,24,28,45,46,7
6,12,34,42,45,48,2
2,16,24,25,47,48,40
14,30,32,42,45,47,4
3,9,15,30,32,41,26
11,20,21,22,27,32,12
3,14,18,26,40,43,15
4,14,15,37,41,49,38
1,19,22,26,46,47,39
5,6,12,16,41,47,7
2,18,27,31,32,46,44
1,4,9,35,37,48,43
17,18,28,30,32,33,1
7,10,22,25,32,35,27
1,5,14,15,21,25,31
2,10,28,37,47,49,7
4,10,20,32,38,49,7
7,8,17,19,27,40,2
8,12,21,43,44,49,27
20,26,38,43,46,47,35
2,6,7,9,17,19,26
1,20,24,28,38,46,40
20,23,27,28,30,46,29
10,12,18,20,23,36,6
9,14,15,32,36,48,25
12,23,29,40,42,43,20
1,13,17,18,33,36,22
15,19,20,24,36,47,4
8,9,12,19,21,40,24
1,8,12,36,42,47,40
9,10,16,41,44,46,39
11,15,18,26,31,37,10
5,14,17,20,22,32,33
8,13,18,30,33,41,20
4,7,17,34,42,48,3
18,21,28,30,34,40,14
1,2,10,12,18,37,43
11,12,13,20,35,43,44
1,4,7,14,31,37,11
4,11,12,26,37,40,7
1,9,15,26,42,44,25
14,17,19,32,39,46,36
8,13,29,33,40,42,3
14,25,27,28,44,47,4
8,16,32,42,47,48,35
8,19,29,30,33,41,4
4,12,20,28,34,49,43
8,9,13,22,38,39,11
3,13,19,32,33,39,24
13,18,22,29,34,41,23
1,9,13,27,29,40,20
4,11,13,14,30,37,20
14,18,25,29,31,42,6
2,8,23,33,34,35,43
2,12,16,38,45,46,14
2,3,23,31,32,43,40
17,25,27,29,36,49,23
10,15,29,34,38,47,18
3,5,16,26,35,38,9
6,22,26,27,40,45,13
2,21,24,29,35,47,18
10,31,33,34,43,49,40
5,9,19,34,36,49,23
7,20,25,27,35,43,1
1,2,21,33,41,45,4
5,13,18,32,39,45,44
2,7,11,14,18,39,29
16,18,19,33,41,46,37
28,36,37,38,41,45,42
6,14,15,26,35,40,8
5,7,18,26,31,45,30
12,38,39,40,45,49,10
6,12,20,25,39,49,7
17,19,35,39,44,46,21
6,11,17,30,44,46,5
2,15,31,34,38,41,21
14,18,27,32,39,42,43
12,18,22,28,31,40,7
14,25,28,29,43,44,10
3,12,14,19,25,28,11
6,10,11,13,32,46,39
6,11,27,39,46,47,15
1,9,27,32,33,35,45
17,18,32,38,44,49,19
5,12,18,19,26,33,46
11,12,14,18,29,30,31
10,20,27,32,38,46,4
7,11,22,23,28,32,29
10,13,19,21,27,49,35
2,12,14,32,41,46,20
4,5,12,15,28,29,20
27,28,30,34,35,48,11
12,15,16,42,44,45,4
20,24,27,31,32,49,36
7,25,26,39,44,45,46
18,21,25,28,38,44,45
1,10,14,38,47,48,40
1,5,10,25,36,47,23
7,11,28,31,43,48,42
4,11,21,28,31,47,5
7,8,12,13,26,43,3
1,7,11,24,27,38,17
6,8,18,36,37,44,30
2,18,29,30,32,47,46
4,6,10,27,29,46,17
8,11,31,32,33,36,46
4,7,14,18,27,31,48
5,17,22,24,34,38,13
21,23,29,30,33,49,40
2,4,20,38,40,46,11
8,14,15,20,41,44,3
14,22,35,37,42,46,24
2,8,12,19,35,45,33
23,24,30,31,45,46,26
7,8,9,17,24,25,20
12,22,34,35,39,45,7
16,19,32,33,42,46,34
4,8,9,10,30,42,22
8,17,19,28,31,35,46
2,8,19,21,24,47,4
7,20,31,35,41,47,42
6,22,25,33,38,47,10
7,12,22,26,43,49,5
1,12,25,28,36,46,13
13,24,30,35,36,39,29
4,8,9,11,42,46,47
21,25,34,37,41,46,14
8,13,16,21,23,49,44
6,14,23,31,38,48,1
5,12,21,30,34,38,3
19,20,25,29,46,47,35
4,13,22,27,43,47,23
7,10,28,30,32,36,27
9,30,31,32,37,40,25
19,21,23,26,37,39,13
1,13,19,26,29,37,15
2,15,20,30,47,48,44
9,17,24,27,33,39,48
7,16,21,30,34,38,41
11,17,24,26,37,41,34
9,16,21,35,47,48,36
1,27,32,35,38,44,24
2,13,35,39,43,48,9
1,17,25,29,42,46,8
5,7,8,17,47,49,34
27,30,36,38,45,46,34
4,7,29,35,40,46,17
1,5,10,22,30,34,42
12,14,19,39,41,48,33
2,15,41,42,44,46,40
3,8,11,15,18,40,41
1,7,16,28,31,48,18
9,23,30,32,34,40,25
8,11,15,19,34,37,25
12,23,28,34,39,46,44
21,25,30,36,37,47,42
8,11,12,20,26,30,28
10,20,36,38,43,48,30
9,11,12,22,29,42,3
4,8,21,40,46,49,34
8,18,21,35,37,38,10
15,20,26,28,29,46,12
6,28,32,33,40,45,1
12,18,22,30,40,49,15
3,10,12,28,39,48,17
11,20,23,29,38,47,12
1,5,23,42,46,49,11
12,19,21,22,40,43,46
2,9,11,12,16,24,43
6,7,22,34,35,46,8
6,13,17,28,35,44,5
15,18,21,25,39,43,33
10,18,20,29,32,33,2
1,3,10,11,30,42,39
2,8,12,14,20,47,36
20,21,22,29,34,35,7
21,25,30,33,36,49,3
8,11,20,30,35,40,27
3,9,11,17,22,44,23
11,12,16,32,43,44,41
12,20,21,26,33,42,9
5,6,19,43,47,49,39
7,24,29,36,41,43,35
7,21,34,35,42,48,41
4,7,9,13,15,43,1
4,13,19,21,35,43,27
1,21,24,29,44,46,19
3,21,26,36,38,49,9
1,17,22,26,38,44,8
2,14,30,41,42,44,22
10,28,36,39,47,48,44
2,6,11,22,34,38,7
18,19,24,38,39,42,41
2,16,23,25,29,38,18
9,13,25,27,33,36,35
1,11,15,21,24,28,8
10,13,31,37,40,46,15
3,11,15,25,30,45,33
13,15,40,41,42,49,21
3,22,30,32,40,43,5
4,5,24,33,44,49,41
3,14,37,41,42,45,4
1,5,17,26,34,48,42
9,14,23,28,34,48,36
6,9,11,13,15,47,38
7,13,15,19,24,37,2
3,14,16,23,38,46,2
2,6,9,27,43,45,35
8,11,19,21,24,47,23
19,20,26,29,32,48,38
6,12,19,31,47,48,41
2,3,11,20,24,47,48
2,23,31,38,43,45,40
15,18,32,43,45,47,12
2,4,10,17,38,41,47
14,15,25,26,32,45,2
1,6,11,20,32,35,22
7,8,32,33,39,49,23
12,26,31,37,38,44,16
7,22,24,31,33,37,39
2,7,21,23,27,36,40
5,8,29,31,32,36,12
10,28,39,45,48,49,15
1,12,23,29,45,46,48
2,14,15,16,33,45,19
5,10,17,30,43,44,40
2,5,18,21,42,48,46
4,26,28,31,32,33,8
11,12,19,38,39,41,6
20,21,30,34,36,37,29
4,12,14,17,22,32,41
13,14,26,34,35,44,12
10,17,19,25,36,39,31
10,13,15,29,31,39,47
1,4,9,21,36,42,3
8,11,19,22,29,44,14
11,12,25,27,28,34,46
2,3,4,5,8,23,27
2,7,15,19,31,49,46
1,6,16,30,32,47,12
6,19,22,23,28,49,20
9,13,21,35,38,48,20
25,28,34,37,40,49,33
7,9,13,27,39,43,42
2,6,15,16,26,34,14
7,9,24,29,37,48,17
10,16,24,39,44,47,28
2,7,11,27,37,42,28
4,11,14,21,38,48,31
1,5,7,24,26,30,8
4,15,17,32,38,43,30
1,25,31,34,42,48,20
3,11,13,22,44,45,4
2,3,15,29,41,43,7
7,13,21,24,28,30,10
2,6,16,22,34,49,45
1,6,16,28,33,36,8
5,12,30,43,44,45,21
1,7,19,22,27,49,20
8,14,31,37,44,47,38
2,9,26,34,35,36,4
5,14,28,29,31,37,11
15,22,30,31,35,45,6
5,8,22,26,40,41,46
8,9,10,19,38,45,6
7,9,29,33,36,49,41
2,13,15,19,38,41,30
15,18,20,23,31,47,12
12,32,40,42,48,49,27
5,6,17,23,29,38,24
7,10,13,14,20,35,49
7,9,12,13,14,16,23
4,7,8,20,22,41,21
1,2,33,34,42,49,39
24,26,36,37,41,43,31
6,12,24,26,30,43,20
11,14,16,19,38,41,6
3,8,9,14,23,25,35
16,17,21,24,43,47,30
1,23,32,38,43,46,5
6,15,16,21,27,28,43
14,17,35,37,39,46,2
2,14,18,28,34,44,21
4,5,13,14,25,44,16
3,13,28,30,31,45,22
6,25,31,36,41,47,10
1,2,16,20,31,38,7
10,16,22,40,44,45,49
18,21,24,26,30,35,48
2,10,30,31,35,46,3
5,9,16,21,44,49,15
15,16,18,21,24,31,22
14,21,22,38,40,45,17
4,24,39,41,42,45,6
5,19,22,26,35,40,2
5,19,29,32,33,34,43
22,24,30,36,38,46,33
3,9,14,21,45,46,34
10,11,24,39,41,42,22
14,18,24,27,28,41,45
11,20,36,37,39,48,21
8,11,12,23,34,49,28
2,11,13,20,21,33,14
1,11,23,29,41,46,44
7,32,34,35,48,49,23
11,13,19,38,39,41,47
24,27,29,31,42,47,22
5,12,13,23,27,38,39
7,12,16,22,45,47,25
22,25,30,33,34,43,24
13,19,20,21,33,49,45
6,15,17,18,28,47,32
13,15,25,28,45,49,24
11,17,35,36,38,40,6
6,11,33,38,40,43,2
1,13,19,24,29,45,26
9,26,28,33,38,46,44
21,28,33,34,40,47,49
9,21,26,27,28,48,45
11,24,26,35,42,44,20
3,5,30,31,43,48,13
2,11,13,45,46,49,42
11,14,21,28,37,44,36
18,29,32,33,36,40,38
2,20,24,30,32,46,1
5,17,35,37,42,49,39
1,24,25,27,31,37,8
15,17,29,30,34,37,40
5,10,18,20,28,33,17
1,22,25,27,31,36,47
5,11,14,23,30,32,20
11,22,24,26,41,42,2
22,24,28,31,35,39,12
3,20,23,30,34,41,47
2,4,6,8,28,29,5
6,21,32,35,39,49,15
5,6,11,12,28,35,17
14,25,26,30,32,47,4
2,6,8,16,23,31,1
1,15,23,29,45,47,6
1,10,18,24,40,49,7
22,23,29,36,41,44,2
5,9,15,25,42,45,38
1,20,28,30,35,46,15
3,4,5,10,35,38,7
1,4,12,13,24,42,48
10,23,28,39,44,47,13
2,3,13,18,31,49,14
6,17,18,23,31,46,44
7,20,30,33,34,44,46
13,15,25,30,40,46,26
2,10,13,19,20,24,17
1,17,24,30,40,49,48
7,10,16,23,27,34,24
1,6,11,31,41,47,32
1,6,19,22,42,44,25
14,18,19,21,45,47,49
10,16,27,29,37,42,44
13,23,35,36,43,47,16
1,12,13,15,19,45,44
2,3,7,10,18,48,33
2,3,11,20,27,46,4
6,17,44,45,46,49,41
3,28,39,40,42,44,37
8,17,34,39,42,44,7
12,20,22,26,30,36,2
1,4,7,12,19,28,43
5,23,24,25,31,33,7
11,12,13,28,43,49,47
7,8,12,25,43,45,13
3,4,18,29,41,44,39
2,8,17,24,27,39,10
1,6,14,24,32,44,5
8,24,26,37,38,44,18
6,18,29,33,43,46,16
1,10,21,31,47,49,13
1,4,5,6,42,43,8
12,15,16,23,32,35,2
4,9,20,26,32,44,11
2,13,23,35,38,46,17
10,14,16,29,30,43,11
15,22,42,44,48,49,6
8,9,19,25,30,44,37
5,6,15,21,22,37,36
23,24,27,28,37,43,16
13,18,20,21,43,49,30
3,16,19,22,41,44,29
4,14,19,24,39,45,8
7,10,11,16,18,35,43
14,19,25,38,39,42,46
26,27,30,33,44,47,37
2,4,8,11,17,31,19
6,16,22,28,37,45,13
12,14,32,35,38,46,16
3,6,26,27,32,49,29
3,5,20,31,39,42,25
7,8,10,11,28,42,29
1,2,12,15,24,44,14
13,14,15,42,45,48,2
9,13,22,29,31,46,45
12,20,33,42,46,47,27
23,25,29,32,40,46,13
13,29,30,33,43,47,16
9,11,15,21,25,33,46
18,23,26,29,35,48,36
7,8,17,30,42,44,24
3,6,21,31,33,38,45
8,19,20,21,25,37,13
3,8,24,27,28,49,44
6,13,21,24,32,47,38
16,21,24,28,37,40,48
3,13,19,23,35,43,26
12,15,16,31,36,46,3
22,29,37,42,45,49,47
12,14,23,30,40,48,1
11,13,14,17,33,43,27
4,7,21,24,35,41,18
1,2,9,16,30,41,35
1,4,7,23,37,38,34
10,12,14,30,37,41,5
3,4,5,24,29,32,2
6,12,35,39,42,44,22
6,13,19,20,24,35,43
1,6,19,23,45,47,49
1,29,32,43,45,49,5
2,8,14,21,32,35,4
11,13,18,21,28,34,19
28,30,32,37,39,47,23
11,20,30,32,33,43,34
3,15,22,35,40,49,39
6,18,32,38,41,45,33
3,14,17,23,32,43,36
8,21,34,37,41,45,49
29,34,38,42,44,47,36
6,10,15,21,24,28,49
15,17,18,37,39,49,31
3,5,17,23,41,44,40
2,3,10,21,31,35,11
10,11,15,39,46,49,21
7,12,22,32,37,45,47
4,18,23,38,40,46,15
5,9,12,23,31,43,29
4,10,25,28,40,43,39
6,21,27,33,38,47,46
13,32,34,35,41,46,30
8,15,17,23,39,44,40
10,16,28,32,34,49,45
21,24,26,35,44,47,8
22,24,25,30,32,43,11
9,12,13,19,21,46,15
13,14,15,21,33,49,1
16,29,36,39,42,49,34
2,5,8,13,16,33,41
3,7,8,17,19,23,12
5,8,16,20,43,46,11
9,17,26,31,32,40,27
1,19,29,34,39,49,43
2,4,11,15,19,29,1
5,6,13,19,34,35,39
18,22,26,31,33,41,27
3,10,14,24,32,45,29
14,27,29,41,45,46,21
11,18,33,41,43,46,36
3,19,25,30,33,48,44
13,24,31,34,44,47,8
16,18,28,35,36,41,37
10,16,17,33,44,48,7
10,18,35,37,48,49,27
6,7,28,31,36,43,23
4,5,12,23,30,40,10
12,13,16,19,23,45,2
8,23,25,30,32,45,24
6,7,13,33,35,46,43
1,4,17,22,23,35,37
2,14,16,32,41,47,23
7,20,33,46,48,49,4
4,7,8,12,13,26,42
1,10,11,13,30,33,45
5,10,30,33,36,37,22
1,15,21,23,24,33,39
7,8,10,20,33,42,22
20,27,29,40,45,48,43
8,20,32,40,44,46,34
8,11,14,20,22,31,19
2,20,29,32,38,39,47
14,25,31,34,36,43,35
7,8,15,27,29,38,39
3,8,13,25,30,34,32
15,16,18,22,26,48,34
4,12,14,17,29,35,38
